Record,Site,Habitat,Plot_ID,Temporal_replicate,Elevation_m,Coordinates,Exposure_degrees,Incline_degrees,Date,Time,GST_°C,Luminosity_lux,Forest_litter_%,Rocks_%,Roots_%,N_species,N_GrowthForms
3_BIS_BM3,Monte Bisbino,mixed forest,BIS_BM3,3,1280,N 45°52.367' E 009°03.868',300,30,20230530,13:10,13.1,1890,70,0,0,15,6
3_BIS_BM4,Monte Bisbino,mixed forest,BIS_BM4,3,1280,N 45°52.344' E 009°03.897',15,35,20230530,11:00,15.5,4800,60,20,0,16,5
3_BIS_BM5,Monte Bisbino,mixed forest,BIS_BM5,3,1260,N 45°52.343' E 009°03.898',30,35,20230530,11:15,12.7,1300,60,10,0,20,6
3_BIS_AR1,Monte Bisbino,spruce plantation,BIS_AR1,3,1298,N 45°52.422' E 009°03.919',135,30,20230530,11:40,12.9,5700,80,0,0,9,4
3_BIS_AR2,Monte Bisbino,spruce plantation,BIS_AR2,3,1290,N 45°52.429' E 009°03.921',120,30,20230530,11:50,11.6,3000,50,0,0,15,5
3_BIS_AR3,Monte Bisbino,spruce plantation,BIS_AR3,3,1285,N 45°52.433' E 009°03.922',210,35,20230530,15:00,13.3,870,80,20,0,6,5
3_BIS_AR4,Monte Bisbino,spruce plantation,BIS_AR4,3,1254,N 45°52.484' E 009°04.305',300,30,20230530,13:25,12,13000,90,10,0,6,2
3_BIS_AR5,Monte Bisbino,spruce plantation,BIS_AR5,3,1241,N 45°52.521' E 009°04.333',300,30,20230530,13:30,12,11500,90,0,10,6,3
4_AVR_BM1,Alpe del Vicerè,mixed forest,AVR_BM1,4,928,N 45°49.814' E 009°11.050',120,25,20230630,08:00,15.5,200,80,10,0,15,6
4_AVR_BM2,Alpe del Vicerè,mixed forest,AVR_BM2,4,954,N 45°49.816' E 009°11.051',120,40,20230630,08:30,15,720,80,0,10,29,8
4_AVR_BM3,Alpe del Vicerè,mixed forest,AVR_BM3,4,971,N 45°49.836' E 009°11.079',155,30,20230630,09:00,14.5,390,80,20,10,14,8
4_AVR_BM4,Alpe del Vicerè,mixed forest,AVR_BM4,4,944,N 45°49.837' E 009°11.076',150,25,20230630,09:30,15.2,900,50,10,0,28,10
4_AVR_BM5,Alpe del Vicerè,mixed forest,AVR_BM5,4,947,N 45°49.676' E 009°11.111',180,25,20230630,10:00,14.7,380,60,0,0,20,8
4_AVR_AR1,Alpe del Vicerè,spruce plantation,AVR_AR1,4,891,N 45°49.673' E 009°11.432',15,30,20230630,07:00,14.3,46,70,10,0,20,8
4_AVR_AR2,Alpe del Vicerè,spruce plantation,AVR_AR2,4,894,N 45°49.622' E 009°11.443',150,28,20230630,07:30,15.2,330,50,10,0,23,8
4_AVR_AR3,Alpe del Vicerè,spruce plantation,AVR_AR3,4,924,N 45°49.620' E 009°11.445',195,17,20230630,10:30,15.3,990,90,10,10,6,3
4_AVR_AR4,Alpe del Vicerè,spruce plantation,AVR_AR4,4,924,N 45°49.620' E 009°11.445',195,26,20230630,10:30,15.2,750,90,0,10,4,3
4_AVR_AR5,Alpe del Vicerè,spruce plantation,AVR_AR5,4,924,N 45°49.620' E 009°11.445',195,20,20230630,10:30,15.3,1220,80,0,0,8,5
4_BIS_PR1,Monte Bisbino,grass-pasture,BIS_PR1,4,1291,N 45°52.418' E 009°04.133',240,25,20230704,11:20,20.5,40000,10,0,0,26,6
4_BIS_PR2,Monte Bisbino,grass-pasture,BIS_PR2,4,1319,N 45°52.447' E 009°04.168',270,30,20230704,12:15,24.5,41000,10,0,0,20,4
4_BIS_PR3,Monte Bisbino,grass-pasture,BIS_PR3,4,1266,N 45°52.343' E 009°04.898',225,27,20230704,12:30,26.8,40000,10,0,0,22,5
4_BIS_PR4,Monte Bisbino,grass-pasture,BIS_PR4,4,1276,N 45°52.407' E 009°03.881',240,30,20230704,11:50,22.3,123000,10,20,0,20,5
4_BIS_PR5,Monte Bisbino,grass-pasture,BIS_PR5,4,1264,N 45°52.408' E 009°03.879',15,30,20230704,09:35,18.7,27000,10,10,0,28,7
4_BIS_BM1,Monte Bisbino,mixed forest,BIS_BM1,4,1315,N 45°52.414' E 009°04.129',300,40,20230704,13:25,15.6,8000,60,10,0,15,6
4_BIS_BM2,Monte Bisbino,mixed forest,BIS_BM2,4,1265,N 45°52.370' E 009°03.867',315,30,20230704,13:20,17.1,2000,60,20,0,9,4
4_BIS_BM3,Monte Bisbino,mixed forest,BIS_BM3,4,1280,N 45°52.367' E 009°03.868',300,30,20230704,13:15,17.1,870,70,0,0,14,6
4_BIS_BM4,Monte Bisbino,mixed forest,BIS_BM4,4,1280,N 45°52.344' E 009°03.897',15,35,20230704,10:15,16.1,5000,50,20,0,14,5
4_BIS_BM5,Monte Bisbino,mixed forest,BIS_BM5,4,1260,N 45°52.343' E 009°03.898',30,35,20230704,10:30,15.1,2300,50,10,0,19,6
4_BIS_AR1,Monte Bisbino,spruce plantation,BIS_AR1,4,1298,N 45°52.422' E 009°03.919',135,30,20230704,10:55,15.6,2400,70,0,0,8,4
4_BIS_AR2,Monte Bisbino,spruce plantation,BIS_AR2,4,1290,N 45°52.429' E 009°03.921',120,30,20230704,11:05,14.4,4000,60,0,0,13,5
4_BIS_AR3,Monte Bisbino,spruce plantation,BIS_AR3,4,1285,N 45°52.433' E 009°03.922',210,35,20230704,12:05,16.1,950,80,20,0,6,5
4_BIS_AR4,Monte Bisbino,spruce plantation,BIS_AR4,4,1254,N 45°52.484' E 009°04.305',300,30,20230704,13:10,16.7,1500,90,10,0,6,2
4_BIS_AR5,Monte Bisbino,spruce plantation,BIS_AR5,4,1241,N 45°52.521' E 009°04.333',300,30,20230704,13:00,17.6,1190,90,0,10,6,3
